Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2022,Total,1 Bedroom,600,735,810,121,"1,061",-2.00%,13.08%,55.13%,-11.68%
2022,Total,2 Bedrooms,843,1000,1150,94,"1,215",5.26%,25.00%,13.25%,-18.26%
2022,Total,3 Bedrooms,1200,1300,1648,31,431,-7.47%,5.05%,40.91%,-29.55%
2022,Total,4 or more Bedrooms,1625,1900,2150,s,154,-2.56%,.00%,36.36%,.00%
2022,House,Total,1138,1500,1960,32,404,53.06%,17.65%,-65.22%,-15.79%
2022,House,3 Bedrooms,1219,1370,1613,s,157,-15.69%,7.45%,40.00%,.00%
2022,House,4 or more Bedrooms,1625,2000,2300,s,108,12.68%,2.56%,37.50%,-8.33%
2022,Other,Total,360,360,378,s,212,10.77%,16.13%,450.00%,-31.25%
2022,Flat/Unit,Total,721,825,1100,218,"2,387",-2.94%,16.20%,29.76%,-16.15%
2022,Flat/Unit,1 Bedroom,650,750,821,104,949,-3.85%,10.29%,50.72%,-9.57%
2022,Flat/Unit,2 Bedrooms,843,1005,1150,90,"1,056",5.79%,28.85%,23.29%,-13.46%
2022,Flat/Unit,3 Bedrooms,1150,1275,1499,s,214,-8.11%,6.25%,60.00%,-40.74%
2023,Total,Total,750,825,1250,109,"1,484",-7.82%,10.00%,-8.40%,-12.80%
2023,Total,1 Bedroom,563,725,765,s,222,20.83%,43.56%,-33.33%,-41.67%
2023,Total,2 Bedrooms,750,800,850,68,802,-5.88%,11.89%,106.06%,28.30%
2023,Total,3 Bedrooms,1500,1650,1999,s,291,-8.33%,37.50%,-55.17%,-60.61%
2023,Total,4 or more Bedrooms,2000,3125,3575,s,94,4.17%,-2.34%,75.00%,7.69%
2023,House,Total,1500,2000,3500,s,139,17.65%,-15.79%,-54.05%,-5.56%
2023,Flat/Unit,Total,731,800,924,90,"1,219",-5.88%,12.28%,15.38%,-15.09%
2023,Flat/Unit,1 Bedroom,543,688,771,s,199,14.58%,37.50%,-42.86%,-47.83%
2023,Flat/Unit,2 Bedrooms,750,800,850,64,736,-5.88%,11.89%,93.94%,20.75%
2024,Total,Total,680,850,1050,142,"1,791",.00%,19.72%,12.70%,-12.88%
2024,Total,1 Bedroom,500,625,680,40,455,4.17%,19.62%,73.91%,-16.67%
2024,Total,2 Bedrooms,800,880,1000,73,931,-1.68%,17.33%,28.07%,-5.19%
2024,Total,3 Bedrooms,1196,1375,1600,s,206,-30.38%,-11.29%,80.00%,.00%
2024,House,Total,1173,1500,1813,s,233,36.36%,-16.67%,-53.06%,-20.69%
2024,Flat/Unit,Total,650,800,950,117,"1,394",3.90%,18.52%,60.27%,-3.31%
2024,Flat/Unit,1 Bedroom,513,625,685,39,412,2.04%,20.19%,77.27%,-13.33%
2024,Flat/Unit,2 Bedrooms,800,875,995,65,823,-2.23%,20.69%,51.16%,-2.99%
2025,Total,Total,700,908,1300,90,"1,182",3.13%,17.86%,-12.62%,-14.29%
2025,Total,1 Bedroom,550,635,686,s,244,1.60%,30.26%,38.46%,.00%
2025,Total,2 Bedrooms,743,850,963,44,560,2.41%,17.65%,41.94%,-18.52%
2025,Total,3 Bedrooms,1175,1380,1725,s,238,2.22%,6.56%,-17.39%,-24.00%
2025,House,Total,913,1150,1778,s,220,-4.17%,-11.54%,-54.90%,-8.00%
2025,Flat/Unit,Total,653,798,950,58,782,-6.18%,12.32%,28.89%,-17.14%
2025,Flat/Unit,1 Bedroom,550,630,655,s,206,11.01%,13.00%,150.00%,25.00%
2025,Flat/Unit,2 Bedrooms,735,825,950,35,448,-.60%,17.02%,29.63%,-20.45%
2026,Total,Total,716,875,1100,698,"8,710",-1.69%,12.90%,3.87%,-11.76%
2026,Total,Bedsitter,340,500,593,s,396,21.95%,25.00%,40.00%,-40.43%
2026,Total,1 Bedroom,600,700,821,212,"2,087",-6.67%,16.67%,30.06%,9.84%
2026,Total,2 Bedrooms,800,910,1100,347,"4,551",.00%,13.75%,55.61%,-15.16%
2026,Total,3 Bedrooms,1150,1300,1698,86,"1,041",-11.86%,4.00%,2.38%,-24.56%
2026,Total,4 or more Bedrooms,1975,2500,3250,s,242,4.17%,47.49%,-10.53%,-19.05%
2026,House,Total,950,1450,1875,58,706,52.63%,20.83%,-71.71%,-13.43%
2026,House,2 Bedrooms,865,1025,1150,s,182,-6.82%,18.50%,58.33%,18.75%
2026,House,3 Bedrooms,1450,1520,1775,s,231,-6.17%,12.59%,-5.00%,-36.67%
2026,House,4 or more Bedrooms,1995,2500,3250,s,152,16.28%,8.81%,-13.33%,8.33%
2026,Other,Total,60,250,520,s,559,-25.37%,-36.31%,8.33%,-18.75%
